product_id,category,price,brand,avg_rating
2001,Electronics,605.47,Vasquez-Gomez,3.1
2002,Clothing,678.09,Moreno Group,4.6
2003,Food,805.96,Mcdaniel Group,4.6
2004,Home & Kitchen,273.47,"Pitts, Whitaker and Jackson",4.3
2005,Health,825.92,Donaldson-Jones,3.0
2006,Home & Kitchen,500.76,York-Barnett,3.9
2007,Food,81.67,"Livingston, Jones and Arnold",3.1
2008,Food,63.26,Scott-Brown,4.5
2009,Clothing,337.57,"Pitts, Whitaker and Jackson",2.6
2010,Food,785.97,Mcdaniel Group,4.9
2011,Electronics,709.14,Chapman Ltd,4.7
2012,Sports,789.67,"Livingston, Jones and Arnold",4.0
2013,Food,519.68,Young-Richards,2.1
2014,Home & Kitchen,443.0,Boyd PLC,1.5
2015,Food,151.72,Becker-Cabrera,4.4
2016,Electronics,331.55,Ramirez and Sons,1.7
2017,Automotive,436.85,King-Wilson,4.4
2018,Automotive,93.16,Taylor-Hughes,3.0
2019,Beauty,224.51,Young-Solomon,2.6
2020,Health,600.23,"Anderson, Soto and Dixon",4.6
2021,Books,736.98,Franco and Sons,3.4
2022,Sports,998.36,Ramirez and Sons,3.3
2023,Toys,933.45,Nelson Ltd,3.2
2024,Beauty,644.35,"Livingston, Jones and Arnold",2.5
2025,Health,424.14,Lee Inc,4.1
2026,Automotive,638.0,Wilson-Pacheco,2.0
2027,Home & Kitchen,786.72,"Edwards, Robinson and Shannon",4.8
2028,Toys,122.74,Pruitt Group,4.6
2029,Health,412.86,"Mccormick, Boone and Hubbard",2.3
2030,Health,840.6,"Pitts, Whitaker and Jackson",3.9
2031,Beauty,386.91,Holmes-Madden,3.3
2032,Toys,574.01,Hess-Mullins,2.4
2033,Clothing,589.83,Franco and Sons,5.0
2034,Books,188.55,Becker-Cabrera,1.1
2035,Clothing,365.42,Griffin-Chase,2.0
2036,Toys,337.84,Holmes-Madden,3.1
2037,Clothing,31.07,"Livingston, Jones and Arnold",3.1
2038,Electronics,29.07,Donaldson-Jones,3.4
2039,Automotive,832.54,Lee Inc,4.0
2040,Electronics,276.71,Hardy Inc,3.5
2041,Food,520.49,York-Barnett,3.4
2042,Clothing,302.23,Salinas LLC,1.2
2043,Food,940.98,Hess-Mullins,2.5
2044,Home & Kitchen,263.0,Hess-Mullins,1.9
2045,Sports,432.51,"Coleman, Mason and Smith",2.1
2046,Home & Kitchen,873.37,"Blankenship, Russo and Walker",3.2
2047,Toys,842.72,"Livingston, Jones and Arnold",1.8
2048,Health,190.17,"Anderson, Soto and Dixon",2.2
2049,Automotive,803.63,Duarte PLC,1.9
2050,Clothing,460.9,Boyd PLC,4.8
2051,Beauty,485.55,Becker-Cabrera,4.8
2052,Sports,137.81,Valdez Group,3.4
2053,Books,85.2,Franco and Sons,4.7
2054,Books,729.3,"Livingston, Jones and Arnold",4.1
2055,Books,498.98,"Blankenship, Russo and Walker",3.4
2056,Clothing,439.67,Villarreal Ltd,1.0
2057,Books,730.86,"Mccormick, Boone and Hubbard",4.1
2058,Electronics,766.69,Nelson Ltd,3.8
