user_id,age,gender,location,join_date
1001,56,M,East Lawrencefurt,2023-07-08
1002,69,M,West Amanda,2021-11-09
1003,46,M,Briannamouth,2023-11-10
1004,32,F,Kevinland,2024-08-13
1005,60,M,South Heatherhaven,2024-02-11
1006,25,M,Barnesshire,2024-01-17
1007,38,M,Grossshire,2021-10-18
1008,56,F,Haysbury,2024-06-03
1009,36,F,Scottshire,2024-01-02
1010,40,M,Williammouth,2023-07-09
1011,28,M,Jacobshaven,2023-07-06
1012,28,M,South James,2021-12-01
1013,41,M,Ashleyhaven,2023-10-06
1014,53,F,Lake Mike,2024-07-20
1015,57,F,Mariaborough,2023-09-05
1016,41,F,Cruzside,2022-01-14
1017,20,F,Armstrongbury,2021-09-20
1018,39,M,Port Timothy,2023-10-12
1019,19,M,West Travisstad,2022-11-11
1020,41,M,Riverston,2021-11-19
1021,61,F,East Thomas,2023-06-15
1022,47,M,West Jamesview,2022-08-13
1023,55,F,Martinbury,2023-08-11
1024,19,F,South Joeport,2022-09-04
1025,38,M,East Angelaland,2024-06-08
1026,50,M,North Wayne,2023-05-11
1027,29,M,East Makaylahaven,2022-09-28
1028,39,F,Schaeferfort,2022-02-12
1029,61,M,Brittanyton,2022-04-18
1030,42,F,New Paul,2024-02-28
1031,66,M,Gentrychester,2023-01-17
1032,44,F,North Jason,2023-04-08
1033,59,F,North Terrifort,2024-04-27
1034,45,M,West Matthewside,2023-05-02
1035,33,F,South Rachel,2022-07-12
1036,32,F,Baileyton,2021-09-05
1037,64,M,New Ericaberg,2024-07-10
1038,68,F,North Joshua,2024-07-17
1039,61,M,North Brenda,2022-02-08
1040,69,F,Lake Tyler,2023-10-17
1041,20,M,Catherinemouth,2023-09-22
1042,54,M,Elliottfort,2021-12-10
1043,68,F,South Gregoryburgh,2024-06-06
1044,24,F,Nicholasstad,2022-11-10
1045,38,F,Williamsborough,2023-08-27
1046,26,F,East Troyfort,2024-06-29
1047,56,F,Laurenfurt,2021-11-19
1048,35,M,South Stevenview,2023-04-02
1049,21,F,Davismouth,2023-08-18
1050,42,M,West Laurenburgh,2024-05-20
1051,31,M,Port James,2022-05-05
1052,67,F,Greenfurt,2022-04-23
1053,26,M,Pachecobury,2022-11-08
